raceId,driverId,grid,positionOrder,pit_sec,pos_change,lap,year,pit_group
844,2,9.0,7,20.872,2.0,36,2011,mid
844,2,9.0,7,21.884,2.0,46,2011,late
844,808,7.0,8,21.422,-1.0,8,2011,early
844,808,7.0,8,21.323,-1.0,19,2011,early
844,808,7.0,8,21.838,-1.0,34,2011,mid
844,808,7.0,8,21.662,-1.0,45,2011,late
844,67,16.0,9,21.769,7.0,9,2011,early
844,67,16.0,9,22.128,7.0,23,2011,mid
844,67,16.0,9,22.032,7.0,40,2011,mid
844,155,24.0,10,21.82,14.0,13,2011,early
844,155,24.0,10,23.455,14.0,23,2011,mid
844,155,24.0,10,22.456,14.0,38,2011,mid
844,13,10.0,11,22.022,-1.0,9,2011,early
844,13,10.0,11,21.322,-1.0,23,2011,mid
844,13,10.0,11,23.471,-1.0,34,2011,mid
844,13,10.0,11,26.685,-1.0,46,2011,late
844,30,8.0,12,30.182,-4.0,2,2011,early
844,30,8.0,12,20.907,-4.0,14,2011,early
844,30,8.0,12,20.379,-4.0,30,2011,mid
844,30,8.0,12,20.597,-4.0,45,2011,late
844,16,12.0,13,21.649,-1.0,10,2011,early
844,16,12.0,13,21.084,-1.0,25,2011,mid
844,16,12.0,13,21.006,-1.0,40,2011,mid
844,815,15.0,14,29.27,1.0,1,2011,early
844,815,15.0,14,22.895,1.0,16,2011,early
844,815,15.0,14,22.365,1.0,32,2011,mid
844,815,15.0,14,21.715,1.0,42,2011,late
844,22,11.0,15,22.717,-4.0,10,2011,early
844,22,11.0,15,22.868,-4.0,24,2011,mid
844,22,11.0,15,21.687,-4.0,40,2011,mid
844,153,17.0,16,22.713,1.0,13,2011,early
844,153,17.0,16,21.826,1.0,29,2011,mid
844,153,17.0,16,21.986,1.0,39,2011,mid
844,153,17.0,16,21.931,1.0,55,2011,late
844,813,14.0,17,23.881,-3.0,11,2011,early
844,813,14.0,17,22.555,-3.0,25,2011,mid
844,813,14.0,17,21.827,-3.0,41,2011,late
844,813,14.0,17,13.925,-3.0,45,2011,late
844,15,19.0,18,23.066,1.0,13,2011,early
844,15,19.0,18,22.862,1.0,25,2011,mid
844,15,19.0,18,22.219,1.0,39,2011,mid
844,5,18.0,19,22.854,-1.0,15,2011,early
844,5,18.0,19,21.633,-1.0,31,2011,mid
844,5,18.0,19,23.114,-1.0,53,2011,late
844,816,23.0,20,22.779,3.0,16,2011,early
844,816,23.0,20,24.837,3.0,33,2011,mid
844,39,22.0,21,27.353,1.0,14,2011,early
844,39,22.0,21,24.962,1.0,27,2011,mid
844,39,22.0,21,24.474,1.0,45,2011,late
844,24,20.0,22,24.634,-2.0,15,2011,early
844,24,20.0,22,56.611,-2.0,16,2011,early
844,24,20.0,22,25.125,-2.0,35,2011,mid
844,24,20.0,22,43.603,-2.0,37,2011,mid
844,814,13.0,23,20.775,-10.0,11,2011,early
844,814,13.0,23,20.93,-10.0,24,2011,mid
844,814,13.0,23,20.887,-10.0,32,2011,mid
844,814,13.0,23,21.403,-10.0,44,2011,late
845,20,2.0,1,20.253,1.0,9,2011,early
845,20,2.0,1,19.887,1.0,18,2011,early
845,20,2.0,1,20.426,1.0,34,2011,mid
845,20,2.0,1,20.292,1.0,48,2011,late
845,1,3.0,2,19.761,1.0,11,2011,early
845,1,3.0,2,20.235,1.0,23,2011,mid
845,1,3.0,2,20.473,1.0,35,2011,mid
845,1,3.0,2,20.988,1.0,49,2011,late
845,18,5.0,3,20.015,2.0,14,2011,early
845,18,5.0,3,20.763,2.0,30,2011,mid
845,18,5.0,3,20.107,2.0,48,2011,late
845,17,1.0,4,20.881,-3.0,10,2011,early
845,17,1.0,4,20.079,-3.0,19,2011,early
845,17,1.0,4,20.279,-3.0,29,2011,mid
845,17,1.0,4,19.984,-3.0,47,2011,late
845,4,4.0,5,20.567,-1.0,10,2011,early
845,4,4.0,5,20.238,-1.0,19,2011,early
845,4,4.0,5,20.738,-1.0,29,2011,mid
845,4,4.0,5,20.38,-1.0,39,2011,mid
845,30,10.0,6,20.084,4.0,10,2011,early
845,30,10.0,6,20.487,4.0,26,2011,mid
845,30,10.0,6,20.451,4.0,41,2011,late
845,3,7.0,7,20.647,0.0,11,2011,early
845,3,7.0,7,19.534,0.0,27,2011,mid
845,3,7.0,7,20.395,0.0,42,2011,late
845,2,24.0,8,21.322,16.0,21,2011,mid
845,2,24.0,8,21.953,16.0,36,2011,mid
845,2,24.0,8,20.796,16.0,50,2011,late
845,815,12.0,9,23.592,3.0,7,2011,early
845,815,12.0,9,21.143,3.0,29,2011,mid
845,815,12.0,9,21.829,3.0,47,2011,late
845,155,14.0,10,24.871,4.0,1,2011,early
845,155,14.0,10,21.128,4.0,25,2011,mid
845,155,14.0,10,20.5,4.0,44,2011,late
845,808,6.0,11,21.856,-5.0,11,2011,early
845,808,6.0,11,24.232,-5.0,26,2011,mid
845,808,6.0,11,21.739,-5.0,41,2011,late
845,814,16.0,12,20.07,4.0,15,2011,early
845,814,16.0,12,20.126,4.0,32,2011,mid
845,814,16.0,12,20.573,4.0,51,2011,late
845,16,17.0,13,20.773,4.0,13,2011,early
845,16,17.0,13,20.267,4.0,30,2011,mid
845,16,17.0,13,23.23,4.0,48,2011,late
845,67,11.0,14,20.818,-3.0,9,2011,early
845,67,11.0,14,24.745,-3.0,25,2011,mid
845,67,11.0,14,20.819,-3.0,42,2011,late
845,813,9.0,15,22.689,-6.0,8,2011,early
845,813,9.0,15,24.821,-6.0,20,2011,early
845,813,9.0,15,21.574,-6.0,36,2011,mid
845,813,9.0,15,22.077,-6.0,53,2011,late
845,153,13.0,16,20.741,-3.0,11,2011,early
845,153,13.0,16,20.872,-3.0,24,2011,mid
845,153,13.0,16,21.019,-3.0,36,2011,mid
845,153,13.0,16,23.143,-3.0,50,2011,late
845,22,19.0,17,29.936,2.0,11,2011,early
845,22,19.0,17,21.226,2.0,23,2011,mid
845,22,19.0,17,20.65,2.0,35,2011,mid
845,22,19.0,17,20.637,2.0,54,2011,late
845,15,18.0,18,22.364,0.0,15,2011,early
845,15,18.0,18,21.723,0.0,29,2011,mid
845,15,18.0,18,23.001,0.0,43,2011,late
845,10,20.0,19,22.744,1.0,16,2011,early
845,10,20.0,19,21.632,1.0,38,2011,mid
845,10,20.0,19,21.17,1.0,53,2011,late
845,816,23.0,20,23.176,3.0,17,2011,early
845,816,23.0,20,22.982,3.0,34,2011,mid
845,816,23.0,20,21.708,3.0,49,2011,late
845,39,22.0,21,24.843,1.0,14,2011,early
845,39,22.0,21,24.448,1.0,28,2011,mid
845,39,22.0,21,24.298,1.0,47,2011,late
845,13,8.0,22,20.8,-14.0,11,2011,early
845,13,8.0,22,21.635,-14.0,21,2011,mid
845,13,8.0,22,22.419,-14.0,36,2011,mid
845,5,15.0,23,21.019,-8.0,16,2011,early
845,5,15.0,23,20.807,-8.0,28,2011,mid
845,5,15.0,23,23.068,-8.0,41,2011,late
845,24,21.0,24,23.157,-3.0,16,2011,early
846,20,1.0,1,28.536,0.0,16,2011,early
846,4,4.0,2,25.352,2.0,17,2011,early
846,4,4.0,2,31.382,2.0,34,2011,mid
846,18,2.0,3,25.28,-1.0,15,2011,early
846,18,2.0,3,26.421,-1.0,33,2011,mid
846,18,2.0,3,24.67,-1.0,48,2011,late
846,17,3.0,4,37.735,-1.0,16,2011,early
846,17,3.0,4,26.269,-1.0,55,2011,late
846,155,12.0,5,28.642,7.0,34,2011,mid
846,1,9.0,6,31.445,3.0,22,2011,mid
846,1,9.0,6,19.347,3.0,43,2011,late
846,1,9.0,6,26.977,3.0,49,2011,late
846,16,14.0,7,25.037,7.0,34,2011,mid
846,16,14.0,7,27.879,7.0,68,2011,late
846,2,15.0,8,25.851,7.0,33,2011,mid
846,2,15.0,8,26.281,7.0,69,2011,late
846,22,11.0,9,25.921,2.0,32,2011,mid
846,22,11.0,9,25.675,2.0,68,2011,late
846,67,16.0,10,26.073,6.0,33,2011,mid
846,67,16.0,10,25.045,6.0,62,2011,late
846,3,7.0,11,25.189,-4.0,15,2011,early
846,3,7.0,11,25.31,-4.0,33,2011,mid
846,3,7.0,11,25.116,-4.0,53,2011,late
846,814,13.0,12,24.97,1.0,20,2011,early
846,814,13.0,12,19.36,1.0,27,2011,mid
846,814,13.0,12,47.226,1.0,32,2011,mid
846,15,18.0,13,25.595,5.0,24,2011,mid
846,15,18.0,13,26.065,5.0,46,2011,late
846,5,17.0,14,26.477,3.0,19,2011,early
846,5,17.0,14,25.878,3.0,52,2011,late
846,816,21.0,15,27.577,6.0,33,2011,mid
846,816,21.0,15,26.464,6.0,63,2011,late
846,24,23.0,16,28.298,7.0,32,2011,mid
846,39,22.0,17,28.325,5.0,25,2011,mid
846,39,22.0,17,39.917,5.0,33,2011,mid
846,813,8.0,18,26.468,-10.0,25,2011,mid
846,813,8.0,18,25.687,-10.0,54,2011,late
846,808,10.0,19,28.856,-9.0,28,2011,mid
846,153,19.0,20,25.907,-1.0,29,2011,mid
846,153,19.0,20,27.55,-1.0,56,2011,late
846,13,6.0,21,26.615,-15.0,26,2011,mid
846,30,5.0,22,35.084,-17.0,12,2011,early
846,10,20.0,23,26.827,-3.0,22,2011,mid
847,18,7.0,1,23.65,6.0,8,2011,early
847,18,7.0,1,14.501,6.0,13,2011,early
847,18,7.0,1,23.868,6.0,19,2011,early
847,18,7.0,1,23.589,6.0,35,2011,mid
847,18,7.0,1,31.718,6.0,37,2011,mid
847,18,7.0,1,23.741,6.0,51,2011,late
847,20,1.0,2,23.872,-1.0,20,2011,early
847,20,1.0,2,22.958,-1.0,37,2011,mid
847,20,1.0,2,22.526,-1.0,53,2011,late
847,17,4.0,3,29.546,1.0,20,2011,early
